time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-07 00:00:00+00:00,5,5,10.0,3.0
2025-10-08 00:00:00+00:00,18,10,19.0,4.0
2025-10-09 00:00:00+00:00,5,5,10.0,4.0
2025-10-10 00:00:00+00:00,5,5,,
2025-10-11 00:00:00+00:00,4,4,5.0,5.0
2025-10-12 00:00:00+00:00,5,5,3.0,1.0
2025-10-13 00:00:00+00:00,3,3,14.0,7.0
2025-10-14 00:00:00+00:00,22,7,8.0,4.0
2025-10-15 00:00:00+00:00,4,4,4.0,1.0
2025-10-16 00:00:00+00:00,3,2,2.0,1.0
2025-10-17 00:00:00+00:00,10,4,27.0,7.0
2025-10-18 00:00:00+00:00,8,3,10.0,3.0
2025-10-19 00:00:00+00:00,8,3,4.0,3.0
2025-10-20 00:00:00+00:00,2,2,14.0,5.0
