time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-23 00:00:00+00:00,16,7,88,4
2026-03-24 00:00:00+00:00,11,7,23,5
2026-03-25 00:00:00+00:00,8,4,18,6
2026-03-26 00:00:00+00:00,11,6,13,3
2026-03-27 00:00:00+00:00,22,9,2,2
2026-03-28 00:00:00+00:00,13,8,4,4
2026-03-29 00:00:00+00:00,14,6,1,1
2026-03-30 00:00:00+00:00,14,6,0,0
2026-03-31 00:00:00+00:00,11,10,0,0
2026-04-01 00:00:00+00:00,12,8,5,3
2026-04-02 00:00:00+00:00,21,12,2,2
2026-04-03 00:00:00+00:00,9,4,4,3
2026-04-04 00:00:00+00:00,14,8,4,2
2026-04-05 00:00:00+00:00,17,7,1,1
