time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,25,11,6,1
2026-06-04 00:00:00+00:00,11,5,3,1
2026-06-05 00:00:00+00:00,10,4,1,1
2026-06-06 00:00:00+00:00,24,11,0,0
2026-06-07 00:00:00+00:00,15,5,1,1
2026-06-08 00:00:00+00:00,10,5,2,2
2026-06-09 00:00:00+00:00,24,10,4,1
2026-06-10 00:00:00+00:00,27,14,0,0
2026-06-11 00:00:00+00:00,56,37,2,2
2026-06-12 00:00:00+00:00,29,12,10,4
2026-06-13 00:00:00+00:00,20,8,1,1
2026-06-14 00:00:00+00:00,29,8,0,0
2026-06-15 00:00:00+00:00,16,9,9,5
2026-06-16 00:00:00+00:00,30,9,0,0
